customer_id,year_of_birth,age,education,marital_status,income,num_kids,num_teens,total_kids,date_joined,days_since_joined,days_since_last_purchase,mnt_wines,mnt_fruits,mnt_meat_products,mnt_fish_products,mnt_sweet_products,mnt_gold_products,total_spent,num_deal_purchases,num_web_purchases,num_catalog_purchases,num_store_purchases,num_web_visits_month,purchase_frequency,accepted_cmp_1,accepted_cmp_2,accepted_cmp_3,accepted_cmp_4,accepted_cmp_5,accepted_cmp_6,total_accepted_cmp,complained,length,recency,frequency,monetary,l_score,r_score,f_score,m_score,lrfm_score_combined,lrfm_segment_combined
9360,1982,32,Postgraduate,Relationship,37040.0,0,0,0,2012-08-08,851,41,86,2,73,69,38,48,316,1,4,2,5,8,12,0,0,0,0,0,0,0,0,851,851,12,316,4,1,3,2,4132,At Risk Customers - Low Engagement
5376,1979,35,Postgraduate,Relationship,2447.0,1,0,1,2013-06-01,554,42,1,1,1725,1,1,1,1730,15,0,28,0,1,29,0,0,0,0,0,0,0,0,554,554,29,1730,3,2,1,4,3214,At Risk Customers - Low Engagement
1993,1949,65,Postgraduate,Relationship,58607.0,0,1,1,2012-12-23,714,63,867,0,86,0,0,19,972,3,2,3,9,8,15,0,0,0,1,0,0,1,0,714,714,15,972,4,1,2,3,4123,At Risk Customers - Low Engagement
4047,1954,60,Postgraduate,Relationship,65324.0,0,1,1,2014-11-01,36,0,384,0,102,21,32,5,544,3,6,2,9,4,18,0,0,0,0,0,0,0,0,36,36,18,544,1,4,2,3,1423,New Customers - High Engagement and Value
1409,1951,63,Postgraduate,Relationship,40689.0,0,1,1,2013-03-18,629,69,270,3,27,39,6,99,444,7,7,1,5,8,14,0,0,0,0,0,0,0,0,629,629,14,444,3,2,2,3,3223,At Risk Customers - Low Engagement
7892,1969,45,Postgraduate,Single,18589.0,0,0,0,2013-02-01,674,89,6,4,25,15,12,13,75,2,2,1,3,7,7,0,0,0,0,0,0,0,0,674,674,7,75,3,2,4,2,3242,At Risk Customers - Low Engagement
2404,1976,38,Postgraduate,Relationship,53359.0,1,1,2,2013-05-27,559,4,173,4,30,3,6,41,257,4,5,1,4,7,11,0,0,0,0,0,0,0,0,559,559,11,257,3,2,3,2,3232,At Risk Customers - Low Engagement
9422,1989,25,Postgraduate,Relationship,38360.0,1,0,1,2013-05-31,555,26,36,2,42,20,21,10,131,2,2,1,4,3,8,0,0,0,0,0,0,0,0,555,555,8,131,3,2,3,2,3232,At Risk Customers - Low Engagement
1966,1965,49,Postgraduate,Relationship,84618.0,0,0,0,2013-11-22,380,96,684,100,801,21,66,0,1672,1,6,9,10,2,26,0,0,0,0,1,0,1,0,380,380,26,1672,2,3,1,4,2314,New Customers - High Engagement and Value
6864,1989,25,Postgraduate,Single,10979.0,0,0,0,2014-05-22,199,34,8,4,10,2,2,4,30,2,3,0,3,5,7,0,0,0,0,0,0,0,0,199,199,7,30,1,4,4,1,1441,New Customers - Low Engagement and Value
3033,1963,51,Postgraduate,Relationship,38620.0,0,0,0,2013-11-05,397,56,112,17,44,34,22,89,318,1,2,5,3,3,11,0,0,0,0,0,0,0,0,397,397,11,318,2,3,3,2,2332,New Customers - Low Engagement and Value
5710,1970,44,Postgraduate,Relationship,40548.0,0,1,1,2012-10-10,788,31,110,0,5,2,0,3,120,2,2,1,4,5,8,0,0,0,1,0,0,1,0,788,788,8,120,4,1,3,2,4132,At Risk Customers - Low Engagement
7373,1952,62,Postgraduate,Single,46610.0,0,2,2,2012-10-29,769,8,96,12,96,33,22,43,302,6,4,1,6,6,12,0,0,0,0,0,1,1,0,769,769,12,302,4,1,3,2,4132,At Risk Customers - Low Engagement
8755,1946,68,Postgraduate,Relationship,68657.0,0,0,0,2013-02-20,655,4,482,34,471,119,68,22,1196,1,3,5,9,7,18,0,0,0,0,0,0,0,0,655,655,18,1196,3,2,2,4,3224,At Risk Customers - Low Engagement
10738,1951,63,Postgraduate,Single,49389.0,1,1,2,2013-08-29,465,55,40,0,19,2,1,3,65,1,2,0,3,7,6,0,0,0,0,0,0,0,0,465,465,6,65,2,3,4,1,2341,New Customers - Low Engagement and Value
4339,1970,44,Postgraduate,Relationship,67353.0,0,1,1,2013-12-31,341,37,702,17,151,0,8,35,913,5,5,6,12,2,24,0,0,0,0,0,0,0,0,341,341,24,913,1,4,1,3,1413,New Customers - High Engagement and Value
10755,1976,38,Postgraduate,Relationship,23718.0,1,0,1,2013-02-09,666,76,6,3,14,15,7,36,81,3,3,1,2,7,7,0,0,0,0,0,0,0,0,666,666,7,81,3,2,4,2,3242,At Risk Customers - Low Engagement
8595,1973,41,Postgraduate,Single,42429.0,0,1,1,2014-11-02,35,99,55,0,6,2,0,4,67,2,1,1,3,5,6,0,0,0,0,0,0,0,0,35,35,6,67,1,4,4,1,1441,New Customers - Low Engagement and Value
2968,1943,71,Postgraduate,Single,48948.0,0,0,0,2013-01-02,704,53,437,8,206,160,49,42,902,2,7,10,5,6,23,0,0,1,0,0,1,2,0,704,704,23,902,4,1,1,3,4113,At Risk Customers - Low Engagement
8601,1980,34,Postgraduate,Relationship,80011.0,0,1,1,2013-04-29,587,3,421,76,536,82,178,102,1395,2,8,6,5,4,20,0,0,0,0,0,0,0,0,587,587,20,1395,3,2,1,4,3214,At Risk Customers - Low Engagement
503,1985,29,Postgraduate,Relationship,20559.0,1,0,1,2013-12-03,369,88,13,1,29,3,0,7,53,2,2,0,3,8,6,0,0,0,0,0,0,0,0,369,369,6,53,2,3,4,1,2341,New Customers - Low Engagement and Value
8430,1957,57,Postgraduate,Relationship,21994.0,0,1,1,2012-12-24,713,4,9,0,6,3,1,3,22,1,0,0,3,5,4,0,0,0,0,0,0,0,0,713,713,4,22,4,1,4,1,4141,At Risk Customers - Low Engagement
2139,1975,39,Postgraduate,Relationship,7500.0,1,0,1,2013-02-10,665,19,3,1,10,3,2,12,31,3,2,0,3,5,6,0,0,0,0,0,0,0,0,665,665,6,31,3,2,4,1,3241,At Risk Customers - Low Engagement
1371,1976,38,Postgraduate,Single,79941.0,0,0,0,2014-06-28,162,72,123,164,266,227,30,174,984,1,2,4,9,1,16,0,0,0,0,0,0,0,0,162,162,16,984,1,4,2,3,1423,New Customers - High Engagement and Value
9909,1996,18,Postgraduate,Relationship,7500.0,0,0,0,2012-09-11,817,24,3,18,14,15,22,50,122,3,3,1,3,9,8,0,0,0,0,0,1,1,0,817,817,8,122,4,1,3,2,4132,At Risk Customers - Low Engagement
7286,1968,46,Postgraduate,Relationship,41728.0,1,0,1,2013-05-24,562,92,13,6,15,3,5,13,55,1,2,0,2,10,5,0,0,0,0,0,0,0,0,562,562,5,55,3,2,4,1,3241,At Risk Customers - Low Engagement
6566,1954,60,Postgraduate,Relationship,72550.0,1,1,2,2012-08-11,848,39,826,50,317,50,38,38,1319,9,5,2,12,8,20,0,0,0,0,0,0,0,0,848,848,20,1319,4,1,1,4,4114,At Risk Customers - Low Engagement
8614,1957,57,Postgraduate,Single,65486.0,0,1,1,2014-12-05,2,29,245,19,125,37,67,14,507,1,4,2,10,2,17,0,0,0,0,0,0,0,0,2,2,17,507,1,4,2,3,1423,New Customers - High Engagement and Value
4114,1964,50,Postgraduate,Relationship,79143.0,0,0,0,2012-11-08,759,2,650,37,780,27,167,32,1693,1,6,9,13,3,29,0,0,0,0,0,0,0,0,759,759,29,1693,4,1,1,4,4114,At Risk Customers - Low Engagement
1331,1977,37,Postgraduate,Single,35790.0,1,0,1,2013-02-01,674,54,12,6,20,30,1,3,72,2,2,0,3,7,6,0,0,0,0,0,0,0,0,674,674,6,72,3,2,4,2,3242,At Risk Customers - Low Engagement
2225,1977,37,Postgraduate,Single,82582.0,0,0,0,2014-07-06,154,54,510,120,550,156,40,241,1617,1,4,9,7,1,21,1,0,1,0,0,1,3,0,154,154,21,1617,1,4,1,4,1414,New Customers - High Engagement and Value
9381,1978,36,Postgraduate,Relationship,66373.0,1,1,2,2013-12-06,366,57,328,9,124,12,24,109,606,7,4,2,10,3,17,0,0,0,0,0,0,0,0,366,366,17,606,2,3,2,3,2323,New Customers - High Engagement and Value
6260,1955,59,Postgraduate,Relationship,82384.0,0,0,0,2012-11-19,748,55,984,51,432,180,120,190,1957,1,3,10,13,1,27,0,0,0,0,1,1,2,0,748,748,27,1957,4,1,1,4,4114,At Risk Customers - Low Engagement
10383,1966,48,Postgraduate,Single,70287.0,0,0,0,2013-02-04,671,30,295,35,482,121,120,40,1093,1,5,5,10,3,21,0,0,0,0,0,1,1,0,671,671,21,1093,3,2,1,4,3214,At Risk Customers - Low Engagement
7437,1988,26,Postgraduate,Single,27938.0,1,0,1,2014-04-28,223,31,13,0,8,2,1,5,29,1,1,0,4,3,6,0,0,0,0,0,0,0,0,223,223,6,29,1,4,4,1,1441,New Customers - Low Engagement and Value
8375,1968,46,Postgraduate,Relationship,55954.0,0,1,1,2014-03-03,279,63,447,0,28,0,0,43,518,3,8,2,6,7,17,0,0,0,0,0,0,0,0,279,279,17,518,1,4,2,3,1423,New Customers - High Engagement and Value
6853,1982,32,Postgraduate,Single,75777.0,0,0,0,2013-04-07,609,12,712,26,538,69,13,80,1438,1,3,6,11,1,21,0,0,0,1,1,1,3,0,609,609,21,1438,3,2,1,4,3214,At Risk Customers - Low Engagement
3076,1975,39,Postgraduate,Relationship,66653.0,1,1,2,2012-07-09,881,18,452,18,102,16,18,6,612,4,4,2,12,3,19,0,0,0,0,0,0,0,0,881,881,19,612,4,1,2,3,4123,At Risk Customers - Low Engagement
1012,1952,62,Postgraduate,Single,61823.0,0,1,1,2013-02-18,657,26,523,7,134,37,14,169,884,4,8,2,10,7,21,0,0,0,0,0,0,0,0,657,657,21,884,3,2,1,3,3213,At Risk Customers - Low Engagement
6518,1951,63,Postgraduate,Single,67680.0,0,1,1,2013-11-06,396,8,546,0,48,0,6,6,606,1,7,3,8,5,19,0,0,0,0,0,0,0,0,396,396,19,606,2,3,2,3,2323,New Customers - High Engagement and Value
4137,1948,66,Postgraduate,Relationship,70666.0,0,0,0,2013-06-12,543,29,398,40,367,119,122,30,1076,1,7,4,4,4,16,0,0,0,0,0,0,0,0,543,543,16,1076,3,2,2,4,3224,At Risk Customers - Low Engagement
8082,1971,43,Postgraduate,Relationship,25721.0,1,0,1,2013-05-21,565,75,1,3,6,3,6,15,34,1,1,1,2,7,5,0,0,0,0,0,1,1,0,565,565,5,34,3,2,4,1,3241,At Risk Customers - Low Engagement
1386,1967,47,Postgraduate,Relationship,32474.0,1,1,2,2014-11-05,32,0,10,0,1,0,0,0,11,1,1,0,2,7,4,0,0,0,0,0,0,0,0,32,32,4,11,1,4,4,1,1441,New Customers - Low Engagement and Value
9369,1979,35,Postgraduate,Single,88194.0,0,1,1,2014-03-19,263,19,688,14,309,201,24,38,1274,1,11,10,10,5,32,1,0,1,0,0,1,3,0,263,263,32,1274,1,4,1,4,1414,New Customers - High Engagement and Value
4477,1958,56,Postgraduate,Relationship,69096.0,0,1,1,2013-09-27,436,4,247,49,159,7,82,109,653,1,5,2,10,4,18,0,0,0,0,0,0,0,0,436,436,18,653,2,3,2,3,2323,New Customers - High Engagement and Value
1357,1970,44,Postgraduate,Relationship,74854.0,1,2,3,2013-08-04,490,90,856,59,487,58,29,73,1562,7,2,5,5,5,13,0,0,0,0,0,0,0,0,490,490,13,1562,2,3,3,4,2334,New Customers - High Engagement and Value
1402,1954,60,Postgraduate,Relationship,66991.0,0,0,0,2012-11-09,758,1,496,36,460,189,60,12,1253,3,4,8,6,3,19,0,0,0,0,0,0,0,0,758,758,19,1253,4,1,2,4,4124,At Risk Customers - Low Engagement
6312,1959,55,Postgraduate,Relationship,65031.0,0,1,1,2013-03-17,630,29,258,107,291,84,37,86,863,4,10,3,13,7,27,0,0,0,0,0,0,0,0,630,630,27,863,3,2,1,3,3213,At Risk Customers - Low Engagement
8132,1975,39,Postgraduate,Relationship,60631.0,1,1,2,2013-05-04,582,88,565,6,65,0,6,19,661,5,9,2,8,7,20,0,0,0,1,0,0,1,0,582,582,20,661,3,2,1,3,3213,At Risk Customers - Low Engagement
1050,1952,62,Postgraduate,Relationship,28332.0,0,0,0,2014-04-30,221,58,14,10,13,4,15,9,65,1,2,1,4,2,8,0,0,0,0,0,0,0,0,221,221,8,65,1,4,3,1,1431,New Customers - Low Engagement and Value
5846,1977,37,Postgraduate,Single,40246.0,1,0,1,2012-12-19,718,68,2,1,6,2,1,1,13,1,1,0,2,6,4,0,0,0,0,0,0,0,0,718,718,4,13,4,1,4,1,4141,At Risk Customers - Low Engagement
1859,1972,42,Postgraduate,Relationship,75251.0,0,0,0,2012-08-27,832,34,721,111,925,97,18,18,1890,1,7,6,5,5,19,0,0,0,0,0,1,1,0,832,832,19,1890,4,1,2,4,4124,At Risk Customers - Low Engagement
7503,1976,38,Postgraduate,Single,75825.0,0,0,0,2012-12-10,727,40,1032,105,779,137,105,51,2209,0,5,8,9,4,23,0,0,1,0,0,1,2,0,727,727,23,2209,4,1,1,4,4114,At Risk Customers - Low Engagement
10401,1976,38,Postgraduate,Relationship,26326.0,0,0,0,2013-04-09,607,12,1,0,5,0,3,9,18,1,0,0,3,3,4,0,0,0,0,0,0,0,1,607,607,4,18,3,2,4,1,3241,At Risk Customers - Low Engagement
1618,1965,49,Postgraduate,Relationship,56046.0,0,0,0,2013-02-01,674,9,577,0,64,0,0,51,692,2,10,1,8,8,20,0,0,1,0,0,1,2,0,674,674,20,692,3,2,1,3,3213,At Risk Customers - Low Engagement
3332,1985,29,Postgraduate,Single,29760.0,1,0,1,2012-08-29,830,87,64,4,68,7,5,17,165,4,3,1,4,8,9,0,0,0,0,0,0,0,0,830,830,9,165,4,1,3,2,4132,At Risk Customers - Low Engagement
2261,1969,45,Postgraduate,Relationship,26304.0,1,0,1,2013-06-23,532,5,4,1,5,2,0,4,16,1,1,0,2,7,4,0,0,0,0,0,0,0,0,532,532,4,16,3,2,4,1,3241,At Risk Customers - Low Engagement
5346,1973,41,Postgraduate,Relationship,23559.0,1,0,1,2013-03-07,640,87,25,5,19,7,0,23,79,3,3,0,3,7,7,0,0,0,0,0,0,0,0,640,640,7,79,3,2,4,2,3242,At Risk Customers - Low Engagement
4119,1963,51,Postgraduate,Relationship,38620.0,0,0,0,2013-11-05,397,56,112,17,44,34,22,89,318,1,2,5,3,3,11,0,0,0,0,0,0,0,0,397,397,11,318,2,3,3,2,2332,New Customers - Low Engagement and Value
535,1987,27,Postgraduate,Single,81361.0,0,0,0,2014-02-25,285,18,163,23,424,27,65,76,778,1,3,10,13,1,27,0,0,0,0,0,0,0,0,285,285,27,778,1,4,1,3,1413,New Customers - High Engagement and Value
5268,1960,54,Postgraduate,Relationship,29440.0,1,1,2,2013-11-08,394,95,17,8,14,10,4,3,56,2,1,0,4,7,6,0,0,0,0,0,0,0,0,394,394,6,56,2,3,4,1,2341,New Customers - Low Engagement and Value
273,1970,44,Postgraduate,Relationship,36138.0,1,1,2,2013-07-16,509,48,130,0,16,0,0,5,151,5,3,1,4,7,9,0,0,0,1,0,0,1,0,509,509,9,151,2,3,3,2,2332,New Customers - Low Engagement and Value
4452,1957,57,Postgraduate,Single,50388.0,0,1,1,2014-05-28,193,3,292,6,37,0,3,34,372,4,6,1,6,7,14,1,0,0,1,0,1,3,0,193,193,14,372,1,4,2,2,1422,New Customers - Low Engagement and Value
8504,1973,41,Postgraduate,Relationship,79593.0,0,0,0,2014-12-05,2,70,350,60,568,110,133,145,1366,1,5,6,7,2,19,0,0,0,0,1,0,1,0,2,2,19,1366,1,4,2,4,1424,New Customers - High Engagement and Value
771,1967,47,Postgraduate,Relationship,54178.0,0,1,1,2014-01-21,320,79,135,9,39,4,0,7,194,1,2,2,5,2,10,0,0,0,0,0,0,0,0,320,320,10,194,1,4,3,2,1432,New Customers - Low Engagement and Value
11178,1972,42,Postgraduate,Single,42394.0,1,0,1,2014-03-23,259,69,15,2,10,0,1,4,32,1,1,0,3,7,5,0,0,0,0,0,0,0,0,259,259,5,32,1,4,4,1,1441,New Customers - Low Engagement and Value
2230,1970,44,Postgraduate,Relationship,23626.0,1,0,1,2014-05-24,197,84,27,2,14,0,0,0,43,3,3,1,3,5,8,0,0,0,0,0,0,0,0,197,197,8,43,1,4,3,1,1431,New Customers - Low Engagement and Value
7516,1983,31,Postgraduate,Relationship,30096.0,1,0,1,2014-05-22,199,30,5,3,11,12,5,9,45,1,2,0,3,6,6,0,0,0,0,0,0,0,0,199,199,6,45,1,4,4,1,1441,New Customers - Low Engagement and Value
7247,1960,54,Postgraduate,Single,47916.0,0,1,1,2012-11-22,745,72,505,0,26,0,0,75,606,5,7,4,6,6,18,0,0,0,1,0,0,1,0,745,745,18,606,4,1,2,3,4123,At Risk Customers - Low Engagement
11100,1972,42,Postgraduate,Single,51813.0,1,1,2,2013-11-04,398,37,51,2,7,0,1,2,63,2,2,0,3,7,6,0,0,0,0,0,0,0,0,398,398,6,63,2,3,4,1,2341,New Customers - Low Engagement and Value
4646,1951,63,Postgraduate,Relationship,78497.0,0,0,0,2013-01-12,694,44,207,26,447,75,0,223,978,1,5,7,12,2,25,1,0,0,0,0,0,1,0,694,694,25,978,4,1,1,3,4113,At Risk Customers - Low Engagement
3037,1983,31,Postgraduate,Relationship,50150.0,0,0,0,2013-06-20,535,32,135,46,92,65,61,11,410,2,5,2,7,5,15,0,0,0,0,0,0,0,0,535,535,15,410,3,2,2,3,3223,At Risk Customers - Low Engagement
1473,1960,54,Postgraduate,Single,47823.0,0,1,1,2013-07-23,502,0,53,1,5,2,1,10,72,2,2,0,3,8,6,0,0,0,0,0,0,0,0,502,502,6,72,2,3,4,2,2342,New Customers - Low Engagement and Value
1016,1959,55,Postgraduate,Single,34554.0,0,1,1,2014-03-30,252,43,41,1,6,2,0,5,55,2,2,0,3,6,6,0,0,0,0,0,0,0,0,252,252,6,55,1,4,4,1,1441,New Customers - Low Engagement and Value
4518,1979,35,Postgraduate,Relationship,85693.0,0,1,1,2013-04-20,596,59,386,172,183,185,132,111,1169,2,9,5,11,5,26,0,0,0,0,0,0,0,0,596,596,26,1169,3,2,1,4,3214,At Risk Customers - Low Engagement
9370,1945,69,Postgraduate,Relationship,65846.0,0,0,0,2013-05-17,569,68,562,81,276,80,40,81,1120,1,6,3,6,4,16,0,0,0,0,0,0,0,0,569,569,16,1120,3,2,2,4,3224,At Risk Customers - Low Engagement
8908,1959,55,Postgraduate,Relationship,87195.0,0,0,0,2014-08-05,124,35,217,76,690,50,26,38,1097,1,3,11,5,1,20,0,0,0,0,0,1,1,0,124,124,20,1097,1,4,1,4,1414,New Customers - High Engagement and Value
8373,1979,35,Undergraduate,Relationship,24594.0,1,0,1,2013-10-12,421,94,1,3,6,10,0,9,29,1,1,0,3,5,5,0,0,0,0,0,0,0,0,421,421,5,29,2,3,4,1,2341,New Customers - Low Engagement and Value
7533,1964,50,Postgraduate,Relationship,49096.0,1,1,2,2013-09-24,439,15,144,1,32,2,1,7,187,4,4,1,4,7,10,0,0,0,0,0,0,0,0,439,439,10,187,2,3,3,2,2332,New Customers - Low Engagement and Value
2683,1969,45,Postgraduate,Relationship,52413.0,0,2,2,2013-02-02,673,56,295,106,271,75,98,65,910,4,6,4,12,6,23,0,0,0,0,0,0,0,0,673,673,23,910,3,2,1,3,3213,At Risk Customers - Low Engagement
3629,1978,36,Postgraduate,Single,38557.0,1,0,1,2012-12-19,718,17,76,3,31,4,4,27,145,2,3,1,3,7,8,0,0,0,0,0,0,0,0,718,718,8,145,4,1,3,2,4132,At Risk Customers - Low Engagement
10991,1960,54,Postgraduate,Relationship,89058.0,0,0,0,2012-07-12,878,18,454,194,106,31,22,43,850,1,5,4,4,2,14,0,0,0,0,0,0,0,0,878,878,14,850,4,1,2,3,4123,At Risk Customers - Low Engagement
5077,1979,35,Postgraduate,Relationship,77298.0,0,1,1,2013-02-11,664,46,425,115,292,23,35,79,969,1,6,6,11,3,24,0,0,0,0,0,0,0,0,664,664,24,969,3,2,1,3,3213,At Risk Customers - Low Engagement
7431,1991,23,Postgraduate,Single,68126.0,0,0,0,2012-10-11,787,40,1332,17,311,23,51,86,1820,1,7,4,5,9,17,0,0,0,1,0,1,2,0,787,787,17,1820,4,1,2,4,4124,At Risk Customers - Low Engagement
3267,1963,51,Postgraduate,Relationship,57288.0,0,1,1,2014-06-25,165,27,527,0,21,0,0,60,608,3,8,1,8,6,18,0,0,0,1,0,0,1,0,165,165,18,608,1,4,2,3,1423,New Customers - High Engagement and Value
999,1991,23,Postgraduate,Single,86037.0,0,0,0,2013-02-01,674,95,490,44,125,29,20,22,730,1,6,7,11,3,25,0,0,0,1,1,1,3,0,674,674,25,730,3,2,1,3,3213,At Risk Customers - Low Engagement
9215,1980,34,Postgraduate,Relationship,43974.0,1,0,1,2012-12-12,725,19,378,0,101,0,0,72,551,5,6,4,6,7,17,0,0,0,0,0,0,0,0,725,725,17,551,4,1,2,3,4123,At Risk Customers - Low Engagement
2286,1962,52,Postgraduate,Single,50785.0,1,1,2,2013-10-09,424,27,64,1,21,0,1,27,114,2,2,1,3,6,7,0,0,0,0,0,0,0,0,424,424,7,114,2,3,4,2,2342,New Customers - Low Engagement and Value
1592,1970,44,Postgraduate,Relationship,90765.0,0,0,0,2014-01-24,317,25,547,99,812,151,82,33,1724,0,4,6,5,1,16,1,0,0,0,1,0,2,0,317,317,16,1724,1,4,2,4,1424,New Customers - High Engagement and Value
367,1978,36,Postgraduate,Relationship,36550.0,1,0,1,2013-02-19,656,74,47,90,94,123,103,120,577,5,9,1,5,9,16,0,0,0,0,0,0,0,0,656,656,16,577,3,2,2,3,3223,At Risk Customers - Low Engagement
5234,1967,47,Postgraduate,Relationship,30753.0,1,1,2,2013-11-07,395,85,12,5,25,0,9,30,81,2,1,1,3,5,6,0,0,0,0,0,0,0,0,395,395,6,81,2,3,4,2,2342,New Customers - Low Engagement and Value
9862,1969,45,Postgraduate,Relationship,21918.0,1,0,1,2013-11-14,388,37,1,6,7,11,5,3,33,2,2,0,3,6,6,0,0,0,0,0,0,0,0,388,388,6,33,2,3,4,1,2341,New Customers - Low Engagement and Value
9805,1953,61,Postgraduate,Relationship,56129.0,0,1,1,2013-06-20,535,65,320,48,133,39,72,48,660,4,6,2,10,4,19,0,0,0,0,0,0,0,0,535,535,19,660,3,2,2,3,3223,At Risk Customers - Low Engagement
6205,1967,47,Postgraduate,Single,32557.0,1,0,1,2014-02-24,286,13,34,3,29,0,4,10,80,3,2,1,3,5,7,0,0,0,0,0,1,1,0,286,286,7,80,1,4,4,2,1442,New Customers - Low Engagement and Value
8442,1985,29,Postgraduate,Relationship,19510.0,2,0,2,2013-04-09,607,63,9,0,7,3,4,7,30,2,1,0,3,7,5,0,0,0,0,0,0,0,0,607,607,5,30,3,2,4,1,3241,At Risk Customers - Low Engagement
